,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
87,Hampton Township,," $235,008 ",38.0 years, 16.0 ,39.8 years, 102.7 ," $88,331 "," 16,704."," 1,042 "
88,"Hanover, PA",," $155,853 ",40.6 years, 3.65 ,39.9 years, 95.9 ," $47,213 "," 15,454 (100% urban, 0% rural). "," 4,233 "
89,Harleysville, 264 feet," $305,825 ",40.6 years, 4.17 ,43.6 years, 105.8 ," $87,731 "," 9,286. "," 2,229 "
90,"Harrisburg, PA", 320 feet," $87,183 ",40.6 years, 8.11 ,31.8 years, 96.3 ," $35,877 "," 49,082 (100% urban, 0% rural). "," 6,052 "
91,Harrison Township,," $133,359 ",38.0 years, 7.27 ,42.6 years, 99.3 ," $49,041 "," 10,421."," 1,433 "
92,Hatboro, 250 feet," $265,949 ",40.6 years, 1.42 ,37.2 years, 106.4 ," $67,962 "," 7,426 (100% urban, 0% rural). "," 5,241 "
93,"Hazleton, PA", 1620 feet," $87,129 ",40.6 years, 5.97 ,36.3 years, 94.4 ," $32,462 "," 24,932 (100% urban, 0% rural). "," 4,173 "
94,"Hermitage, PA", 1090 feet," $141,010 ",40.6 years, 29.5 ,49.4 years, 95.6 ," $60,082 "," 16,118 (78% urban, 22% rural). ", 547 
95,"Hershey, PA", 410 feet," $256,244 ",40.6 years, 14.4 ,40.9 years, 99.1 ," $59,833 "," 14,257. ", 990 
96,Homeacre-Lyndora,," $161,147 ",40.6 years, 6.68 ,45.8 years, 93.8 ," $54,923 "," 6,906. "," 1,034 "
97,Horsham, 300 feet," $275,892 ",40.6 years, 5.46 ,41.3 years, 105.5 ," $76,191 "," 14,842. "," 2,716 "
98,"Huntingdon, PA", 643 feet," $115,340 ",40.6 years, 3.45 ,32.8 years, 87.3 ," $40,712 "," 7,037 (95% urban, 5% rural). "," 2,041 "
